Case Number,Case Title,Requesting Court,Topics,Judgment ECLI,Judgment CELEX,Has AG Opinion,AG Opinion Title,AG Opinion ECLI,Has Summary,Summary CELEX
Case C-250/08.,Case C-250/08. Commission v Belgium,,,ECLI:EU:C:2011:793,62008CJ0250,Yes,Opinion of Advocate General Sharpston delivered on 21 July 2011.,ECLI:EU:C:2011:495,Yes,62008CJ0250_SUM
Case C-253/09.,Case C-253/09. Commission v Hungary,,,ECLI:EU:C:2011:795,62009CJ0253,No,,,Yes,62009CJ0253_SUM
Joined cases C-446/09 and C-495/09.,Joined cases C-446/09 and C-495/09. Philips and Nokia v Lucheng Meijing Industrial and Others,,,ECLI:EU:C:2011:796,62009CJ0446,No,,,Yes,62009CJ0446_SUM
Case C-79/10.,Case C-79/10. Systeme Helmholz v Hauptzollamt Nürnberg,,Reference for a preliminary ruling: Bundesfinanzhof - Germany.,ECLI:EU:C:2011:797,62010CJ0079,No,,,Yes,62010CJ0079_SUM
Case C-145/10.,Case C-145/10. Painer v Standard Verlags and Others,,Reference for a preliminary ruling: Handelsgericht Wien - Austria.,ECLI:EU:C:2011:798,62010CJ0145,Yes,Opinion of Advocate General Trstenjak delivered on 12 April 2011.,ECLI:EU:C:2011:239,Yes,62010CJ0145_SUM
Case C-442/10.,Case C-442/10. Churchill Insurance Company and Evans v Wilkinson and Equity Claims Limited,,Reference for a preliminary ruling: Court of Appeal (England & Wales) (Civil Division) - United Kingdom.,ECLI:EU:C:2011:799,62010CJ0442,No,,,Yes,62010CJ0442_SUM
Case C-492/10.,Case C-492/10. Immobilien Linz v Finanzamt Freistadt Rohrbach Urfahr,,"Reference for a preliminary ruling: Unabhängiger Finanzsenat, Außenstelle Linz - Austria.",ECLI:EU:C:2011:800,62010CJ0492,No,,,Yes,62010CJ0492_SUM
Case C-329/11.,Case C-329/11. Achughbabian v Préfet du Val-de-Marne,,Reference for a preliminary ruling: Cour d'appel de Paris - France.,ECLI:EU:C:2011:807,62011CJ0329,No,,,Yes,62011CJ0329_SUM
Case C-371/08.,Case C-371/08. Ziebell v Land Baden-Württemberg,,Reference for a preliminary ruling: Verwaltungsgerichtshof Baden-Württemberg - Germany.,ECLI:EU:C:2011:809,62008CJ0371,No,,,Yes,62008CJ0371_SUM
Case C-272/09 P.,Case C-272/09 P. KME (anciennement KME Germany) and Others v Commission,,,ECLI:EU:C:2011:810,62009CJ0272,Yes,Opinion of Advocate General Sharpston delivered on 10 February 2011.,ECLI:EU:C:2011:63,Yes,62009CJ0272_SUM
Case C-81/10 P.,Case C-81/10 P. France Télécom v Commission,,,ECLI:EU:C:2011:811,62010CJ0081,No,,,Yes,62010CJ0081_SUM
